game_id,week,date,away_team,home_team,away_score,home_score,location
2025-04-24-NY-OAK,1,2025-04-24,NY,OAK,17,22,Fremont High School
2025-04-25-NY-LV,1,2025-04-25,NY,LV,32,13,Bonanza High School
2025-04-25-ATX-HTX,1,2025-04-25,ATX,HTX,30,23,Sabercats Stadium
2025-04-26-MTL-BOS,1,2025-04-26,MTL,BOS,18,26,Hormel Stadium
2025-04-26-ORE-COL,1,2025-04-26,ORE,COL,12,24,PInnacle Athletic Complex
2025-04-26-SLC-ATL,1,2025-04-26,SLC,ATL,21,23,Silverbacks Park
2025-04-26-PHI-DC,1,2025-04-26,PHI,DC,16,15,"Carlini Field, Catholic U"
2025-05-02-IND-PIT,2,2025-05-02,IND,PIT,21,25,F.N.B. Stadium
2025-05-02-MAD-HTX,2,2025-05-02,MAD,HTX,12,10,Sabercats Stadium
2025-05-03-OAK-SEA,2,2025-05-03,OAK,SEA,22,21,Memorial Stadium
2025-05-03-LA-SD,2,2025-05-03,LA,SD,12,19,Mission Bay High School
2025-05-03-TOR-DC,2,2025-05-03,TOR,DC,18,19,"Carlini Field, Catholic U"
2025-05-03-MAD-ATX,2,2025-05-03,MAD,ATX,17,22,Westlake Chaparral Stadium
2025-05-03-LV-SLC,2,2025-05-03,LV,SLC,12,22,Zion Bank Stadium
2025-05-04-OAK-ORE,2,2025-05-04,OAK,ORE,28,13,University of Oregon - Portland 
2025-05-04-SD-LA,2,2025-05-04,SD,LA,25,16,Great Park Championship Stadium
2025-05-04-TOR-PHI,2,2025-05-04,TOR,PHI,16,19,Turf Field at Neumann 
2025-05-09-SEA-OAK,3,2025-05-09,SEA,OAK,21,26,Fremont High School
2025-05-09-MTL-NY,3,2025-05-09,MTL,NY,20,22,Joseph F. Fosina Field
2025-05-09-ATL-SD,3,2025-05-09,ATL,SD,20,19,Canyon Crest Academy
2025-05-10-PHI-TOR,3,2025-05-10,PHI,TOR,24,21,Varsity Stadium
2025-05-10-MIN-IND,3,2025-05-10,MIN,IND,32,17,Kuntz Stadium
2025-05-10-DC-CAR,3,2025-05-10,DC,CAR,20,18,Durham County Memorial Stadium
2025-05-10-ATL-LA,3,2025-05-10,ATL,LA,26,18,Great Park Championship Stadium
2025-05-10-MTL-BOS,3,2025-05-10,MTL,BOS,11,17,Hormel Stadium
2025-05-10-HTX-ATX,3,2025-05-10,HTX,ATX,19,28,Westlake Chaparral Stadium
2025-05-10-SEA-LV,3,2025-05-10,SEA,LV,23,13,Bonanza High School
2025-05-11-PIT-DET,3,2025-05-11,PIT,DET,22,17,Hope Sports Complex
2025-05-16-NY-BOS,4,2025-05-16,NY,BOS,18,19,Hormel Stadium
2025-05-16-LA-SD,4,2025-05-16,LA,SD,16,21,Canyon Crest Academy
2025-05-16-COL-HTX,4,2025-05-16,COL,HTX,17,23,Sabercats Stadium
2025-05-03-CAR-ATL,4,2025-05-17,CAR,ATL,15,19,Silverbacks Park
2025-05-17-NY-MTL,4,2025-05-17,NY,MTL,23,24,Complexe Sportif Claude-Robillard
2025-05-17-CHI-MIN,4,2025-05-17,CHI,MIN,16,11,Sea Foam Stadium
2025-05-17-PIT-MAD,4,2025-05-17,PIT,MAD,14,20,Breese Stevens Field
2025-05-17-SEA-ORE,4,2025-05-17,SEA,ORE,19,20,University of Oregon - Portland 
2025-05-17-COL-ATX,4,2025-05-17,COL,ATX,16,18,Westlake Chaparral Stadium
2025-05-17-CAR-ATL,4,2025-05-17,CAR,ATL,18,22,Silverbacks Park
2025-05-18-BOS-DC,4,2025-05-18,BOS,DC,14,11,"Carlini Field, Catholic U"
2025-05-23-NY-PHI,5,2025-05-23,NY,PHI,17,16,Turf Field at Neumann 
2025-05-23-SD-CAR,5,2025-05-23,SD,CAR,26,25,Durham County Memorial Stadium
2025-05-23-ORE-LV,5,2025-05-23,ORE,LV,14,13,Bonanza High School
2025-05-23-SEA-SLC,5,2025-05-23,SEA,SLC,21,22,Zion Bank Stadium
2025-05-24-SEA-OAK,5,2025-05-24,SEA,OAK,16,21,Fremont High School
2025-05-24-MIN-PIT,5,2025-05-24,MIN,PIT,31,14,F.N.B. Stadium
2025-05-24-DET-IND,5,2025-05-24,DET,IND,18,21,Kuntz Stadium
2025-05-24-ORE-COL,5,2025-05-24,ORE,COL,14,24,Colorado School of Mines
2025-05-24-SD-ATL,5,2025-05-24,SD,ATL,19,23,Silverbacks Park
2025-05-30-DC-TOR,6,2025-05-30,DC,TOR,21,20,Varsity Stadium
2025-05-30-ATL-MIN,6,2025-05-30,ATL,MIN,15,17,TCO Stadium
2025-05-30-IND-MAD,6,2025-05-30,IND,MAD,11,22,Breese Stevens Field
2025-05-30-OAK-COL,6,2025-05-30,OAK,COL,21,24,Colorado School of Mines
2025-05-30-HTX-LA,6,2025-05-30,HTX,LA,19,20,Great Park Championship Stadium
2025-05-30-SLC-SEA,6,2025-05-30,SLC,SEA,25,20,Memorial Stadium
2025-05-31-CAR-PHI,6,2025-05-31,CAR,PHI,18,15,Turf Field at Neumann 
2025-05-31-DC-MTL,6,2025-05-31,DC,MTL,17,22,Complexe Sportif Claude-Robillard
2025-05-31-ATL-CHI,6,2025-05-31,ATL,CHI,18,19,De La Salle Institute
2025-05-31-SLC-ORE,6,2025-05-31,SLC,ORE,21,17,University of Oregon - Portland 
2025-05-31-HTX-SD,6,2025-05-31,HTX,SD,17,25,Mission Bay High School
2025-06-01-NY-TOR,6,2025-06-01,NY,TOR,20,22,Varsity Stadium
2025-06-01-CAR-PIT,6,2025-06-01,CAR,PIT,24,12,F.N.B. Stadium
2025-06-06-SLC-OAK,7,2025-06-06,SLC,OAK,25,24,Fremont High School
2025-06-06-NY-DC,7,2025-06-06,NY,DC,15,23,"Carlini Field, Catholic U"
2025-06-06-PHI-MTL,7,2025-06-06,PHI,MTL,20,29,Complexe Sportif Claude-Robillard
2025-06-06-ATX-LA,7,2025-06-06,ATX,LA,18,17,Great Park Championship Stadium
2025-06-06-LV-SEA,7,2025-06-06,LV,SEA,12,23,Memorial Stadium
2025-06-07-MTL-TOR,7,2025-06-07,MTL,TOR,18,28,Varsity Stadium
2025-06-07-PIT-MIN,7,2025-06-07,PIT,MIN,16,21,Sea Foam Stadium
2025-06-07-LV-ORE,7,2025-06-07,LV,ORE,17,21,University of Oregon - Portland 
2025-06-07-ATX-SD,7,2025-06-07,ATX,SD,23,21,Mission Bay High School
2025-06-07-PHI-BOS,7,2025-06-07,PHI,BOS,14,22,Hormel Stadium
2025-06-07-ATL-CAR,7,2025-06-07,ATL,CAR,19,21,Durham County Memorial Stadium
2025-06-07-IND-DET,7,2025-06-07,IND,DET,25,16,Hope Sports Complex
2025-06-08-MAD-CHI,7,2025-06-08,MAD,CHI,16,21,Northwestern Medicine Field at Martin Stadium 
