player_id,first_name,last_name,team_abbrev,team,division,jersey,games_played,goals,assists,hockey_assists,blocks,callahans,callahans_thrown,completions,throw_attempts,throwaways,stalls,drops,catches,yards_thrown,yards_received,hucks_completed,hucks_attempted,o_points_played,o_points_scored,d_points_played,d_points_scored,pulls,ob_pulls,seconds_played,turnovers,plus_minus,total_scores,completion_pct,minutes_played,rank_plus_minus,rank_total_scores,rank_goals,rank_assists,rank_blocks,rank_yards_thrown,rank_yards_received
ddemarre,Daan,De Marrée,CHI,Chicago Union,Central,21,12,43,28,27,18,0,0,230,238,8,0,3,265,1697,3005,5,9,141,109,49,26,1,1,12349,11,78,71,96.64,205.8,1,5,4,28,6,81,11
alaviolet,Allan,Laviolette,CAR,Carolina Flyers,South,11,12,22,67,15,6,0,0,393,414,16,0,2,372,3954,1706,32,37,228,165,1,0,0,0,15684,18,77,89,94.93,261.4,2,1,45,1,139,11,75
agutowsky,Anthony,Gutowsky,MAD,Madison Radicals,Central,6,12,55,10,14,18,0,0,154,169,12,0,6,218,611,2751,1,3,155,105,120,39,0,0,18787,18,65,65,91.12,313.1,3,10,1,178,6,247,18
jrandolph,John,Randolph,NY,New York Empire,East,34,12,28,39,28,6,0,0,370,382,9,0,0,400,2684,2200,11,15,198,148,89,22,0,0,18704,9,64,67,96.86,311.7,4,7,28,12,139,31,35
qbonnaud,Quentin,Bonnaud,MTL,Montreal Royal,East,44,12,53,19,14,7,0,0,187,203,13,0,2,250,933,3645,7,12,241,153,9,2,0,0,15926,15,64,72,92.12,265.4,4,4,2,82,103,163,2
wfrankenb,Walker,Frankenberg,OAK,Oakland Spiders,West,4,12,38,39,29,4,0,0,292,313,20,0,0,347,2456,3456,7,8,212,165,0,0,0,0,12588,20,61,77,93.29,209.8,6,3,6,12,234,41,4
bjagt,Ben,Jagt,NY,New York Empire,East,4,12,45,18,21,9,0,0,182,195,11,0,1,240,547,3524,1,4,261,185,40,8,30,1,19261,12,60,63,93.33,321.0,7,13,3,88,63,271,3
gmartin1,Garrett,Martin,SEA,Seattle Cascades,West,12,12,37,31,23,4,0,0,204,217,12,0,6,251,1473,2733,9,11,224,158,20,10,0,0,16545,18,54,68,94.01,275.8,8,6,7,22,234,100,19
bpreiss,Benjamin,Preiss,CHI,Chicago Union,Central,13,12,37,16,13,11,0,0,129,137,7,0,3,166,637,2304,3,4,145,116,68,32,0,0,13322,10,54,53,94.16,222.0,8,29,7,102,39,238,31
mhenke,Mark,Henke,ATX,Austin Sol,South,3,12,33,17,16,11,1,0,147,153,6,0,2,179,664,2114,2,3,146,103,85,31,0,0,15393,8,53,50,96.08,256.6,10,34,16,95,39,229,40
tdecraene,Tobe,Decraene,BOS,Boston Glory,East,33,12,37,30,23,4,0,0,295,314,15,0,3,351,1393,3843,4,7,202,145,19,3,1,1,15944,18,53,67,93.95,265.7,10,7,7,23,234,109,1
ncoolman,Noah,Coolman,COL,Colorado Apex,West,59,12,22,24,17,24,0,0,184,203,17,0,0,211,1541,2185,9,14,104,70,175,72,1,0,19213,17,53,46,90.64,320.2,10,43,45,51,1,90,37
sfaris,Seth,Faris,COL,Colorado Apex,West,11,12,34,16,7,7,0,0,68,74,4,0,0,102,1038,1325,14,17,132,91,91,35,14,0,13537,4,53,50,91.89,225.6,10,34,13,102,103,151,122
jkerr,Jordan,Kerr,SLC,Salt Lake Shred,West,66,12,17,41,21,4,0,0,255,267,9,0,2,270,2385,1908,12,16,236,181,5,1,0,0,14220,11,51,58,95.51,237.0,14,19,78,9,234,44,51
mlabar,Matt,LaBar,NY,New York Empire,East,2,12,34,27,25,4,0,0,255,268,12,0,3,303,1475,3060,9,13,243,177,10,2,0,0,17458,15,50,61,95.15,291.0,15,16,13,35,234,99,7
ataylor,Austin,Taylor,ATL,Atlanta Hustle,South,2,12,11,53,25,2,0,0,523,542,15,0,2,467,4548,1905,27,35,249,192,4,1,0,0,17239,17,49,64,96.49,287.3,16,12,170,3,411,2,52
sheyman,Scott,Heyman,PHI,Philadelphia Phoenix,East,44,12,23,39,27,6,0,0,304,326,18,1,1,346,3113,2531,22,27,198,133,9,1,0,0,14071,20,48,62,93.25,234.5,17,14,43,12,139,20,25
mrussnogl,Matt,Russnogle,SLC,Salt Lake Shred,West,18,12,42,9,12,2,0,0,100,104,4,1,1,145,345,2133,2,4,214,160,3,0,0,0,12783,6,47,51,96.15,213.1,18,33,5,202,411,368,39
jfairfax,Jacob,Fairfax,CAR,Carolina Flyers,South,20,12,36,16,15,5,0,0,168,175,7,0,3,210,816,3103,12,14,195,144,18,1,0,0,12983,10,47,52,96.0,216.4,18,32,10,102,183,186,6
jlyle,Jonathan,Lyle,LA,LA Aviators,South,6,12,25,42,28,2,0,0,293,314,18,0,4,334,2336,2929,21,28,225,135,4,2,0,0,15402,22,47,67,93.31,256.7,18,7,37,8,411,46,13
jlewis,James,Lewis,TOR,Toronto Rush,East,9,12,32,22,27,9,0,0,287,305,15,0,1,332,1900,3254,4,7,233,153,32,8,1,0,16221,16,47,54,94.1,270.4,18,27,19,59,63,66,5
amiller1,Adam,Miller,ATL,Atlanta Hustle,South,18,12,22,35,22,1,0,1,395,410,13,0,0,386,2670,1770,11,15,211,158,27,13,5,0,16352,13,45,57,96.34,272.5,22,20,45,17,531,32,65
tdunn,Travis,Dunn,SD,San Diego Growlers,South,80,12,17,40,17,7,0,0,225,243,17,0,2,249,1591,2607,11,21,218,154,11,1,0,0,14178,19,45,57,92.59,236.3,22,20,78,10,103,86,22
arees,Adam,Rees,OAK,Oakland Spiders,West,41,12,36,13,20,5,0,0,179,186,7,0,3,223,1050,2345,4,4,188,144,20,6,1,0,12761,10,44,49,96.24,212.7,24,38,10,127,183,146,29
cyorgason,Chad,Yorgason,SLC,Salt Lake Shred,West,6,12,25,36,31,4,0,0,242,263,20,0,2,272,2693,3011,22,27,222,166,39,14,0,0,15732,22,43,61,92.02,262.2,25,16,37,15,234,30,10
jduennebe,Jace,Duennebeil,SLC,Salt Lake Shred,West,22,12,34,16,7,5,0,0,87,94,6,0,6,126,782,2265,7,8,179,138,36,15,0,0,12017,12,43,50,92.55,200.3,25,34,13,102,183,196,33
sgudeman,Seth,Gudeman,IND,Indianapolis AlleyCats,Central,17,12,27,19,15,20,1,0,266,293,22,1,0,274,1349,2538,6,14,189,100,55,13,29,2,16332,23,43,46,90.78,272.2,25,43,29,82,4,113,24
kchunmoy,Kainoa,Chun-Moy,MAD,Madison Radicals,Central,93,12,16,34,17,10,0,0,222,240,14,1,2,228,1345,1746,7,12,138,94,67,26,2,0,15217,17,43,50,92.5,253.6,25,34,97,19,48,114,70
gsanner,Grayson,Sanner,CAR,Carolina Flyers,South,7,12,32,24,21,7,0,0,210,229,15,0,5,260,1407,2980,10,12,237,178,4,1,1,0,15682,20,43,56,91.7,261.4,25,22,19,51,103,108,12
haustinkn,Hayden,Austin-Knab,ATL,Atlanta Hustle,South,17,12,20,35,30,3,1,0,375,393,15,0,1,390,3185,2033,21,26,241,184,9,1,2,0,16762,16,42,55,95.42,279.4,30,26,61,17,322,18,43
zraunig,Zeppelin,Raunig,SEA,Seattle Cascades,West,0,12,31,11,9,6,0,0,102,108,5,0,1,136,563,2660,2,2,189,127,5,0,0,0,12179,6,42,42,94.44,203.0,30,54,22,157,139,264,20
ctremblay,Christophe,Tremblay-Joncas,MTL,Montreal Royal,East,42,12,12,44,22,11,0,0,258,284,21,0,5,286,3004,2177,26,32,209,132,34,4,9,1,15890,26,41,56,90.85,264.8,32,22,147,6,39,23,38
jbabbitt,Jeff,Babbitt,BOS,Boston Glory,East,87,12,21,0,4,21,0,0,96,99,1,0,0,113,147,838,0,0,70,50,93,22,0,0,11902,1,41,21,96.97,198.4,32,176,49,650,2,505,207
qfiner,Quinn,Finer,COL,Colorado Apex,West,88,12,33,32,28,0,0,0,287,312,21,0,3,341,2369,3018,20,30,259,177,11,4,0,0,18838,24,41,65,91.99,314.0,32,10,16,20,654,45,9
smcdougal,Sean,McDougall,LA,LA Aviators,South,10,12,17,19,10,12,0,0,139,147,8,0,0,159,855,1599,7,11,161,93,18,5,0,0,11159,8,40,36,94.56,186.0,35,78,78,82,29,171,86
jpotts,Jackson,Potts,ATX,Austin Sol,South,28,12,21,28,12,2,0,0,158,170,12,0,1,175,1073,1718,5,12,168,118,21,9,4,0,11986,13,38,49,92.94,199.8,36,38,49,28,411,141,74
smott,Sean,Mott,PHI,Philadelphia Phoenix,East,81,12,16,46,33,3,0,0,525,558,23,0,4,497,4293,2193,19,34,250,161,7,0,4,0,17390,27,38,62,94.09,289.8,36,14,97,5,322,4,36
